x         y         z
3.547363 11.578979 15.117188 
6.275024 6.241455 8.590088 
11.298828 3.247681 12.493286 
15.748291 13.641357 0.141602 
3.478394 13.696289 2.956543 
15.830688 4.107666 18.439331 
14.654541 13.040771 4.703979 
9.046631 3.649902 14.703979 
10.113525 8.145752 18.967285 
6.867065 4.096069 4.729004 
3.572998 6.987305 4.425659 
7.048950 8.571167 19.950562 
3.997803 15.712280 13.528442 
6.016846 11.854858 13.872070 
5.886841 5.264893 0.114746 
5.657349 17.498169 18.212891 
7.417603 14.459839 17.686157 
3.900757 3.572388 13.161621 
10.816040 6.380005 17.730103 
8.470459 18.929443 6.101685 
9.322510 4.962769 7.448730 
3.170166 1.837158 3.193970 
15.142822 8.659668 16.279907 
6.082153 2.881470 8.180542 
12.745361 8.042603 10.584717 
9.060059 3.994141 12.791748 
11.883545 4.229736 5.869141 
17.878418 15.494385 13.134766 
4.725342 15.003052 15.921631 
2.430420 3.007202 16.423950 
1.456299 5.502930 8.243408 
16.332397 6.144409 12.447510 
8.731689 10.361328 5.138550 
15.317993 0.816650 14.127808 
5.358887 4.161377 19.841919 
13.802490 7.052002 1.566772 
19.581299 7.085571 7.066650 
8.978271 14.199829 13.932495 
2.335815 2.641602 17.337036 
11.830444 5.390015 3.581543 
0.864868 14.327393 14.485474 
14.436646 13.128662 16.778564 
7.053223 18.120117 5.688477 
12.936401 7.896118 15.391235 
4.866333 17.657471 3.417969 
15.532837 11.632080 3.941650 
11.267700 18.994751 8.682861 
14.915771 17.978516 16.378174 
14.984131 11.798706 14.929199 
14.467773 11.151733 6.953735 
7.501831 13.871460 1.986694 
7.637939 5.327759 19.578857 
10.656738 5.861206 19.423218 
19.852295 16.405029 0.025024 
15.213013 13.048706 8.690796 
12.340698 8.027344 5.357056 
14.780273 1.077271 3.437500 
17.250977 3.740845 14.965210 
9.467773 2.501221 17.355347 
3.428955 7.157593 17.575073 
3.632813 1.034546 18.942871 
2.233276 2.001953 18.607178 
12.111816 10.363770 2.559814 
12.770996 13.912354 2.265625 
19.295654 14.411011 15.140381 
15.916138 5.882568 12.727051 
5.441284 5.915527 7.949829 
16.495361 9.202271 8.804321 
4.575195 10.209961 12.754517 
3.012695 1.788330 16.466064 
8.378296 11.066895 11.780396 
4.287720 15.767822 13.579102 
0.424194 5.493164 0.833740 
12.380371 6.196289 11.253662 
15.138550 4.340820 14.966431 
11.187134 2.786865 6.165161 
5.865479 5.616455 16.046753 
0.065918 16.513672 8.228760 
16.405640 17.359009 11.628418 
11.884766 2.984619 17.996826 
0.411377 16.962891 4.477539 
14.852295 14.436646 18.161621 
3.002319 3.824463 2.139282 
17.518311 2.243652 13.535156 
8.987427 12.177734 5.923462 
6.307373 1.809692 3.875732 
12.061768 1.008301 8.671875 
14.970703 1.712646 3.945923 
9.353638 7.903442 0.693970 
15.327759 8.987427 15.169678 
15.701294 3.732300 13.243408 
8.666992 12.414551 3.266602 
2.026367 15.012817 18.903198 
7.189941 15.690918 6.238403 
12.191772 10.854492 18.265991 
4.869385 2.358398 7.080688 
2.700806 1.344604 12.271118 
7.092896 4.367676 15.596924 
19.631348 4.252930 9.590454 
18.475342 16.146851 13.688965
