x    y     z
-20.788710 246.515305 -189.585236 
-100.964790 157.144424 -16.947680 
125.128204 -108.769814 -258.168243 
102.322945 21.077606 -75.082520 
-56.590851 -206.003586 -183.159622 
290.151520 -3.134817 44.020920 
87.013481 146.434296 95.148949 
116.546898 -13.259151 37.796970 
-141.960190 -220.430908 37.394722 
190.007828 130.853470 80.396568 
-7.272555 -41.592491 251.990845 
-25.442459 -110.213989 -43.832851 
134.567383 -39.709213 225.308853 
247.496155 6.647398 -178.557510 
246.187317 60.086971 -17.910919 
160.697845 28.101576 263.453979 
39.116119 -78.642586 40.448891 
-142.193481 136.048569 110.411774 
-265.623352 -44.080231 -27.852808 
235.588104 91.692276 -113.860413 
-271.125946 74.028641 -133.924088 
265.915131 -97.412819 -67.269943 
11.731148 261.739929 -98.219894 
-112.448517 -109.589035 -102.273933 
99.528984 -248.922546 -67.782112 
64.296646 69.981567 287.311920 
267.122650 -112.502083 119.898697 
-196.545105 -45.547020 -170.978241 
98.680580 182.802979 -27.475937 
-43.950779 -312.445496 -95.898087 
148.454330 117.848686 -125.889755 
-77.069267 -34.262234 13.234567 
263.342438 -158.283417 13.348186 
-289.871185 -9.014348 72.764282 
183.313492 -90.193565 193.940613 
-169.569778 -162.505066 -169.193924 
143.497742 199.351944 188.508118 
-112.359795 -147.958084 131.085617 
-23.527227 147.372101 15.610786 
29.344212 70.090187 -157.526672 
-93.023026 81.793816 16.878532 
-21.486542 -21.658949 147.978455 
-141.402969 155.805496 -116.017410 
-191.278976 47.366257 54.384270 
-89.177582 158.641632 -204.307327 
-137.119797 -190.239883 186.254044 
-45.428059 140.028656 268.449799 
97.580872 -127.157143 149.521637 
-22.383921 153.325989 -182.854279 
-206.044647 50.272041 168.548386 
35.006683 51.879627 19.686087 
-108.049751 -87.020157 85.730721 
105.754868 259.396851 -7.608229 
0.793895 104.748299 73.642578 
143.848572 -220.568253 56.562557 
-87.573853 36.497280 -232.225113 
28.449915 -127.138954 269.583862 
-71.109016 -282.248260 -10.364861 
50.571278 62.934036 -285.485718 
-178.404205 -3.306420 -112.747040 
205.232483 -12.045884 -83.210999 
-60.192673 211.284714 176.718613 
-186.747025 -42.433723 204.930161 
-105.875420 234.426056 -61.960991 
-174.030930 197.379425 97.276100 
-6.930751 -103.853615 128.238403 
-239.864975 -131.929749 72.745972 
59.627258 -280.837036 141.149033 
29.004513 222.424728 232.776901 
217.342651 219.540512 93.930130 
-25.509609 -160.037292 209.477066 
-128.562042 82.884964 255.461014 
228.494736 48.281128 110.697876 
164.121033 -28.689880 -185.038223 
-238.465256 -117.893341 -72.876717 
131.013351 93.615105 35.397270 
197.857376 -178.770691 -74.779671 
-141.347672 59.795555 112.302834 
-25.763929 -66.992271 -304.144379 
145.235123 107.217758 205.616791 
46.544868 -129.380005 -79.287125 
179.694672 -103.499077 -140.253372 
-237.174576 106.723824 24.029959 
-89.799240 -8.667368 236.374573 
55.813797 -43.665497 -240.980331 
-14.180498 273.737366 20.733292 
-58.503979 -196.682571 -44.381165 
102.071960 202.642181 -154.577133 
-14.471685 -12.470324 -66.114494 
113.498528 13.590032 148.660553 
-168.098022 190.859406 -0.020142 
-8.689591 -226.870346 118.566544 
99.726845 157.967880 -238.910782 
216.463959 188.263733 -9.675175 
-106.420052 276.215210 92.244812 
45.862850 -230.919678 -4.828737 
173.534683 183.823227 -63.234707 
82.656601 -117.587006 -165.546631 
217.052765 -18.170885 103.324951 
-219.416885 116.267433 -67.822212
