x            y         z
-54.786289 526.643372 -421.528778 
-230.799957 329.006531 -48.055458 
259.512482 -246.275497 -571.452759 
207.772247 35.538662 -176.749023 
-130.177704 -455.045380 -405.360596 
620.986572 -19.810555 82.938698 
175.084106 307.208496 195.124420 
241.297729 -40.291054 69.294678 
-321.326202 -489.739807 66.778671 
401.474640 269.235443 161.877930 
-27.780092 -99.041100 539.913147 
-69.575127 -249.766937 -105.335648 
277.521149 -97.599632 478.589081 
524.600403 1.466410 -398.869385 
525.613037 118.519966 -50.208546 
337.557678 51.972046 561.254761 
76.086548 -182.272110 75.393654 
-316.785828 281.659943 227.992447 
-590.755310 -104.892906 -69.872780 
500.519470 185.630005 -257.378571 
-601.711121 145.297684 -302.370819 
567.645447 -219.469528 -157.959183 
13.964816 556.485596 -225.478836 
-254.635330 -248.321106 -231.251465 
203.730850 -550.809326 -158.348236 
125.741867 138.423553 612.403076 
567.479675 -251.794556 245.394531 
-435.104675 -107.539345 -382.357086 
199.297073 387.306488 -70.842834 
-107.857903 -684.008728 -216.879913 
308.444946 243.940857 -286.420929 
-179.865875 -85.437325 15.680901 
558.486084 -353.002228 18.773005 
-642.251343 -29.634386 144.328415 
384.847229 -206.826523 405.723236 
-379.207336 -363.528168 -376.460724 
297.893738 418.717896 393.294495 
-253.994034 -331.492401 270.399353 
-62.042824 310.882294 19.733393 
51.233768 139.542053 -353.371643 
-214.471436 164.537903 24.323399 
-59.491093 -55.735626 307.554688 
-318.219086 325.003418 -263.872406 
-428.683838 89.966881 103.872559 
-204.453949 327.914368 -455.068207 
-308.630890 -423.257233 392.308197 
-109.740257 290.317291 570.139160 
199.946381 -288.693146 310.699707 
-57.644386 318.099396 -407.261536 
-458.814240 98.502518 352.268372 
63.956917 98.811623 32.427769 
-246.627960 -197.254944 170.913712 
217.101715 554.823669 -26.620117 
-10.439427 214.731369 151.521210 
300.450684 -488.552032 110.216827 
-202.632111 67.209236 -516.618958 
51.206554 -286.025146 575.198975 
-165.429962 -625.631958 -34.362137 
96.529381 123.452553 -631.365356 
-397.334137 -16.310862 -253.780838 
433.148743 -41.419476 -187.985565 
-145.742111 445.121735 367.879547 
-416.364594 -103.862083 433.053589 
-241.944580 501.053467 -149.606308 
-389.741058 419.082123 196.822647 
-26.113371 -238.414215 265.714630 
-529.969482 -294.474152 141.516495 
115.338165 -617.681458 291.966095 
50.548569 467.543060 489.490021 
458.317108 464.955353 191.668243 
-64.802170 -356.537384 441.431366 
-290.375458 167.368027 541.574646 
488.652527 94.193665 229.127396 
344.810944 -73.214699 -414.608185 
-530.013611 -270.616333 -167.207199 
271.806335 189.711288 64.362907 
415.481293 -398.453613 -171.480759 
-317.324249 113.868645 231.666428 
-68.394951 -155.175934 -669.339966 
302.412659 218.045914 435.771118 
92.800385 -291.915466 -184.329834 
375.010376 -233.355347 -312.369598 
-530.032349 221.983276 37.978500 
-204.500961 -30.182232 502.170532 
107.629013 -103.782158 -534.354126 
-41.896908 584.567261 31.064306 
-140.907837 -440.306580 -109.522591 
204.643799 428.376312 -344.888824 
-44.194054 -37.063313 -156.985550 
232.358994 16.891464 309.352905 
-376.757141 402.306763 -6.833229 
-32.480202 -502.406586 241.633377 
204.261444 330.467255 -528.896790 
460.681641 395.481873 -30.209475 
-243.183746 587.757141 189.510361 
84.528389 -513.369568 -22.592073 
360.547668 386.205963 -153.422989 
165.261978 -267.154297 -369.010010 
460.932281 -54.376785 211.881348 
-486.058746 238.254547 -153.507675
